iter	Passed	Remaining
407	5210	45874
408	5221	45844
409	5230	45802
410	5240	45758
411	5249	45712
412	5258	45671
413	5267	45627
414	5277	45590
415	5288	45561
416	5298	45522
417	5307	45477
418	5319	45466
419	5331	45446
420	5343	45423
421	5355	45406
422	5364	45361
423	5377	45350
424	5393	45370
425	5408	45372
426	5421	45361
427	5434	45358
428	5447	45345
429	5460	45338
430	5472	45318
431	5485	45308
432	5499	45305
433	5512	45292
434	5528	45305
435	5539	45281
436	5550	45255
437	5560	45220
438	5569	45176
439	5578	45134
440	5588	45096
441	5599	45074
442	5609	45044
443	5621	45022
444	5633	45001
445	5642	44962
446	5651	44919
447	5660	44880
448	5670	44843
449	5679	44807
450	5690	44777
451	5699	44738
452	5710	44710
453	5720	44684
454	5731	44654
455	5739	44610
456	5748	44569
457	5757	44527
458	5766	44489
459	5775	44446
460	5784	44405
461	5793	44365
462	5805	44352
463	5815	44315
464	5824	44282
465	5836	44260
466	5846	44229
467	5855	44189
468	5865	44159
469	5874	44119
470	5883	44079
471	5892	44041
472	5901	44005
473	5911	43976
474	5921	43942
475	5930	43908
476	5940	43874
477	5965	43956
478	5974	43919
479	5984	43887
480	5997	43875
481	6009	43858
482	6017	43820
483	6028	43792
484	6037	43755
485	6046	43716
486	6055	43681
487	6066	43662
488	6076	43626
489	6086	43601
490	6096	43570
491	6106	43537
492	6116	43507
493	6124	43468
494	6134	43436
495	6143	43400
496	6153	43369
497	6163	43340
498	6173	43316
499	6183	43287
500	6195	43271
501	6206	43250
502	6217	43226
503	6225	43184
504	6235	43153
505	6245	43125
506	6253	43086
507	6262	43047
508	6275	43041
509	6285	43012
510	6296	42991
511	6306	42965
512	6316	42936
513	6326	42909
514	6335	42875
515	6345	42841
516	6357	42827
517	6393	42974
518	6429	43125
519	6469	43294
520	6510	43471
521	6551	43654
522	6596	43856
523	6635	44014
524	6676	44194
525	6715	44350
526	6760	44554
527	6803	44735
528	6845	44915
529	6878	45037
530	6908	45136
531	6998	45624
532	7034	45758
533	7070	45891
534	7111	46059
535	7151	46218
536	7189	46361
537	7231	46531
538	7276	46723
539	7323	46926
540	7364	47086
541	7403	47233
542	7448	47419
543	7488	47576
