iter	RMSE
0	45.62144482
1	44.70886779
2	43.75199001
3	42.85729043
4	42.09140651
5	41.39163726
6	40.64404468
7	40.0332811
8	39.46943521
9	38.95836521
10	38.3766554
11	37.85735418
12	37.35078774
13	36.83916508
14	36.35959438
15	36.00993143
16	35.62217252
17	35.2640976
18	34.91661371
19	34.59167529
20	34.29680766
21	34.01747829
22	33.75703628
23	33.55232442
24	33.30668556
25	33.08562349
26	32.86768626
27	32.68437902
28	32.50123343
29	32.30431603
30	32.17128793
31	32.01839934
32	31.88806897
33	31.7430092
34	31.62963523
35	31.50193987
36	31.38340534
37	31.27250793
38	31.16433719
39	31.05747282
40	30.93725191
41	30.84479697
42	30.7189092
43	30.63514439
44	30.50672597
45	30.43517832
46	30.37923424
47	30.28714099
48	30.22943055
49	30.17166498
50	30.10145531
51	30.02028228
52	29.97568437
53	29.91161331
54	29.83340308
55	29.76319552
56	29.69160983
57	29.64120447
58	29.58488512
59	29.5238934
60	29.47700816
61	29.44542874
62	29.39384625
63	29.3574928
64	29.32039392
65	29.28076024
66	29.25179148
67	29.20783937
68	29.15055032
69	29.10161003
70	29.06726047
71	29.03070616
72	28.98729041
73	28.93690756
74	28.90483774
75	28.88039403
76	28.86350108
77	28.81498834
78	28.77248981
79	28.75411595
80	28.72715028
81	28.69096885
82	28.65947344
83	28.62845183
84	28.56737238
85	28.52467836
86	28.50618339
87	28.46319605
88	28.43830703
89	28.39429663
90	28.36781165
91	28.32900604
92	28.29973357
93	28.25796346
94	28.23684122
95	28.22392562
96	28.19591807
97	28.17080271
98	28.15122905
99	28.12058866
100	28.10192924
101	28.08478851
102	28.03725506
103	27.98565089
104	27.96690973
105	27.94896445
106	27.9094213
107	27.89035394
108	27.85683084
109	27.83522731
110	27.81131954
111	27.79905831
112	27.78037531
113	27.74608798
114	27.71331773
115	27.67273885
116	27.65219736
117	27.64396287
118	27.63356739
119	27.61632452
120	27.59965309
121	27.57170264
122	27.55375046
123	27.53721064
124	27.50437598
125	27.49373322
126	27.4725031
127	27.43983298
128	27.42117357
129	27.40409748
130	27.39299129
131	27.36775388
132	27.34080066
133	27.32554075
134	27.30023883
135	27.2845239
136	27.27900815
137	27.25988768
138	27.24073834
139	27.22752015
140	27.217017
141	27.20294014
142	27.19074608
143	27.15094973
144	27.13943639
145	27.12418608
146	27.11886098
147	27.09996536
148	27.05774875
149	27.04167895
150	27.02724791
151	27.00450114
152	26.9836058
153	26.97596999
154	26.9340832
155	26.91689635
156	26.90952843
157	26.88764797
158	26.87876279
159	26.85994414
160	26.83570423
161	26.81843026
162	26.80962223
163	26.79956576
164	26.78617048
165	26.77626104
166	26.76584348
167	26.75333954
168	26.74493896
169	26.73817068
170	26.72686474
171	26.71523924
172	26.68150986
173	26.66365339
174	26.63522183
175	26.61979977
176	26.61154881
177	26.60353553
178	26.58513264
179	26.57856981
180	26.56165317
181	26.5555811
182	26.54381402
183	26.51160668
184	26.47960532
185	26.47341661
186	26.46367117
187	26.44729642
188	26.44128463
189	26.43401774
190	26.42197432
191	26.40943799
192	26.40433582
193	26.39952124
194	26.39294786
195	26.38639696
196	26.37560993
197	26.3635922
198	26.34536674
199	26.32852413
200	26.32301553
201	26.31459314
202	26.30893553
203	26.3015253
204	26.29676656
205	26.28744585
206	26.28107784
207	26.27055532
208	26.26421035
209	26.25841968
210	26.25148552
211	26.24287361
212	26.23536604
213	26.21288187
214	26.20922575
215	26.19741246
216	26.1921304
217	26.17479058
218	26.16953007
219	26.15917306
220	26.13098113
221	26.12624838
222	26.11563831
223	26.10772369
224	26.09839618
225	26.0936039
226	26.08565482
227	26.07853058
228	26.06626961
229	26.0604759
230	26.04166774
231	26.02934074
232	26.01266763
233	26.00872589
234	25.99983061
235	25.9626585
236	25.95469185
237	25.95064756
238	25.94046604
239	25.93621015
240	25.92978043
241	25.92258963
242	25.90792875
243	25.90152126
244	25.89380746
245	25.86885423
246	25.86084981
247	25.85203774
248	25.84806023
249	25.83518557
250	25.82891191
251	25.80702369
252	25.79337988
253	25.78675976
254	25.781052
255	25.77576623
256	25.76951261
257	25.7638868
258	25.75810044
259	25.74182455
260	25.73287391
261	25.72846237
262	25.72403509
263	25.70439294
264	25.69619348
265	25.68955287
266	25.68341202
267	25.6718624
268	25.6673777
269	25.65848589
270	25.63266443
271	25.62263944
272	25.61650844
273	25.60982511
274	25.60606401
275	25.59669825
276	25.59141597
277	25.58198923
278	25.57407838
279	25.57156412
280	25.56121926
281	25.54713701
282	25.5415017
283	25.53676603
284	25.52053401
285	25.51293404
286	25.49204587
287	25.48750907
288	25.48423826
289	25.47713096
290	25.47303173
291	25.4599109
292	25.45604312
293	25.44168794
294	25.43420408
295	25.41962822
296	25.41378827
297	25.40727573
298	25.39256314
299	25.3875116
300	25.38550773
301	25.38081887
302	25.36686746
303	25.35336215
304	25.34077727
305	25.33689169
306	25.33236128
307	25.31977887
308	25.31616537
309	25.30357972
310	25.30004577
311	25.29740091
312	25.28147218
313	25.26623857
314	25.26218592
315	25.25844139
316	25.25449851
317	25.24300166
318	25.2395209
319	25.23232361
320	25.22514399
321	25.22215387
322	25.21914332
323	25.21262117
324	25.20568401
325	25.20050737
326	25.18649192
327	25.17882952
328	25.17566473
329	25.16687918
330	25.14671783
331	25.14418394
332	25.13810018
333	25.12222336
334	25.11798278
335	25.11006482
336	25.10738316
337	25.09335909
338	25.08889038
339	25.08123034
340	25.0663035
341	25.06343708
342	25.05723787
343	25.03429895
344	25.02871225
345	25.01793118
346	25.0133804
347	24.99770042
348	24.99507753
349	24.99200753
350	24.98915124
351	24.98536977
352	24.97947761
353	24.96812845
354	24.96496292
355	24.95885244
356	24.94453203
357	24.94158137
358	24.93866323
359	24.93627285
360	24.91565694
361	24.90272731
362	24.89902572
363	24.8895623
364	24.87452933
365	24.87147325
366	24.86625195
367	24.86076214
368	24.85738396
369	24.84903418
370	24.8377693
371	24.82889866
372	24.82265742
373	24.81363657
374	24.80222622
375	24.79023462
376	24.78627736
377	24.78423028
378	24.78164505
379	24.76683334
380	24.75528639
381	24.74717148
382	24.73091896
383	24.71857377
384	24.70428916
385	24.69836699
386	24.69476307
387	24.68902456
388	24.68157916
389	24.67937751
390	24.66690786
391	24.66420573
392	24.65882153
393	24.65567154
394	24.65013563
